stopwords_removed,3-gram
"['kalah', 'menang', 'sudah', 'biasa', 'kalah', 'tanpa', 'progress', 'sebal', 'baru', 'season', 'sekarang', 'alami', 'hal', 'your', 'gelap']","['alami_hal_your', 'baru_season_sekarang', 'biasa_kalah_tanpa', 'hal_your_gelap', 'kalah_menang_sudah', 'kalah_tanpa_progress', 'menang_sudah_biasa', 'progress_sebal_baru', 'season_sekarang_alami', 'sebal_baru_season', 'sekarang_alami_hal', 'sudah_biasa_kalah', 'tanpa_progress_sebal']"
['suka'],[]
"['seru', 'senang', 'enak', 'dimainin', 'seru', 'banget', 'teman', 'seru', 'seru', 'seru', 'seru', 'seru', 'seru', 'seru', 'banget', 'lebih', 'seru', 'sonia', 'sun', 'sun', 'guys', 'usah', 'teman', 'lebih', 'seru', 'hujanhujanan', 'dimarahin', 'tuhan']","['banget_lebih_seru', 'banget_teman_seru', 'dimainin_seru_banget', 'enak_dimainin_seru', 'guys_usah_teman', 'hujanhujanan_dimarahin_tuhan', 'lebih_seru_hujanhujanan', 'lebih_seru_sonia', 'senang_enak_dimainin', 'seru_banget_lebih', 'seru_banget_teman', 'seru_hujanhujanan_dimarahin', 'seru_senang_enak', 'seru_seru_banget', 'seru_seru_seru', 'seru_sonia_sun', 'sonia_sun_sun', 'sun_guys_usah', 'sun_sun_guys', 'teman_lebih_seru', 'teman_seru_seru', 'usah_teman_lebih']"
['kontl'],[]
"['cuma', 'fokus', 'event', 'tanpa', 'optimal', 'ubah', 'ui', 'cacat', 'serius', 'fokus', 'jual', 'merchandise', 'event', 'kikir']","['cacat_serius_fokus', 'cuma_fokus_event', 'event_tanpa_optimal', 'fokus_event_tanpa', 'fokus_jual_merchandise', 'jual_merchandise_event', 'merchandise_event_kikir', 'optimal_ubah_ui', 'serius_fokus_jual', 'tanpa_optimal_ubah', 'ubah_ui_cacat', 'ui_cacat_serius']"
"['stuck', 'baik', 'jg']",['stuck_baik_jg']
"['ngga', 'guna', 'ngga', 'pernah', 'beri', 'bangus']","['guna_ngga_pernah', 'ngga_guna_ngga', 'ngga_pernah_beri', 'pernah_beri_bangus']"
"['sinyal', 'bagus', 'gerak', 'ngentod', 'niat']","['bagus_gerak_ngentod', 'gerak_ngentod_niat', 'sinyal_bagus_gerak']"
"['seru', 'banyak', 'gelap', 'sytem', 'bintang', 'naik', 'legen', 'poke', 'musuh', 'top', 'globalpenjoki']","['banyak_gelap_sytem', 'bintang_naik_legen', 'gelap_sytem_bintang', 'legen_poke_musuh', 'musuh_top_globalpenjoki', 'naik_legen_poke', 'poke_musuh_top', 'seru_banyak_gelap', 'sytem_bintang_naik']"
['jembut'],[]
