stopwords_removed,unigrams_hok
"['bagus', 'sampai', 'papa', 'adik', 'pokok', 'bagus', 'bintang']","[('bagus',), ('sampai',), ('papa',), ('adik',), ('pokok',), ('bagus',), ('bintang',)]"
"['pisahin', 'ph', 'server', 'lain', 'isi', 'troll', 'egois', 'semua', 'separty', 'cari', 'untung', 'sendiri', 'gapeduli', 'sudah', 'gaada', 'uba', 'nyoba', 'maksa', 'rebut', 'sesuai', 'afk', 'dll', 'konyol', 'ngetroll', 'egois', 'mvp', 'sementara', 'pontang', 'panting', 'deffend', 'tower', 'sana', 'kena', 'penalty', 'kurang', 'brengsek', 'ha']","[('pisahin',), ('ph',), ('server',), ('lain',), ('isi',), ('troll',), ('egois',), ('semua',), ('separty',), ('cari',), ('untung',), ('sendiri',), ('gapeduli',), ('sudah',), ('gaada',), ('uba',), ('nyoba',), ('maksa',), ('rebut',), ('sesuai',), ('afk',), ('dll',), ('konyol',), ('ngetroll',), ('egois',), ('mvp',), ('sementara',), ('pontang',), ('panting',), ('deffend',), ('tower',), ('sana',), ('kena',), ('penalty',), ('kurang',), ('brengsek',), ('ha',)]"
"['keren', 'banget', 'cok']","[('keren',), ('banget',), ('cok',)]"
['keren'],"[('keren',)]"
"['naik', 'turun', 'duit', 'tolong', 'ndak', 'paham', 'tolong', 'jangan', 'hapus', 'dua', 'lipat', 'no', 'oking', 'dua', 'lipat', 'kisah', 'juang']","[('naik',), ('turun',), ('duit',), ('tolong',), ('ndak',), ('paham',), ('tolong',), ('jangan',), ('hapus',), ('dua',), ('lipat',), ('no',), ('oking',), ('dua',), ('lipat',), ('kisah',), ('juang',)]"
"['cacat', 'curi', 'sekarang', 'legal']","[('cacat',), ('curi',), ('sekarang',), ('legal',)]"
"['bagus', 'banget']","[('bagus',), ('banget',)]"
"['bagus', 'banget']","[('bagus',), ('banget',)]"
"['frame', 'parah', 'sekarang', 'tambah', 'sinyal', 'jumping']","[('frame',), ('parah',), ('sekarang',), ('tambah',), ('sinyal',), ('jumping',)]"
"['pensi', 'musuh', 'bot']","[('pensi',), ('musuh',), ('bot',)]"
"['asik', 'baru', 'donlowad', 'langsung', 'ulas', 'moga', 'hemat', 'kuota', 'beri', 'musuh', 'adil']","[('asik',), ('baru',), ('donlowad',), ('langsung',), ('ulas',), ('moga',), ('hemat',), ('kuota',), ('beri',), ('musuh',), ('adil',)]"
"['tolol', 'make', 'bukan', 'line', 'ngak', 'anggap', 'pelanggaan', 'report', 'stuck', 'blank']","[('tolol',), ('make',), ('bukan',), ('line',), ('ngak',), ('anggap',), ('pelanggaan',), ('report',), ('stuck',), ('blank',)]"
"['overall', 'good', 'but', 'camera', 'too', 'close']","[('overall',), ('good',), ('but',), ('camera',), ('too',), ('close',)]"
"['aneh', 'nulis', 'pocong', 'hunter', 'ketemu', 'buruk', 'bahkan', 'lebih', 'buruk', 'ff']","[('aneh',), ('nulis',), ('pocong',), ('hunter',), ('ketemu',), ('buruk',), ('bahkan',), ('lebih',), ('buruk',), ('ff',)]"
"['suka', 'banget', 'seru', 'asyik', 'banyak', 'suka']","[('suka',), ('banget',), ('seru',), ('asyik',), ('banyak',), ('suka',)]"
"['fps', 'naik', 'tibatiba', 'momen', 'krusial', 'lain', 'bagus', 'device', 'dukung']","[('fps',), ('naik',), ('tibatiba',), ('momen',), ('krusial',), ('lain',), ('bagus',), ('device',), ('dukung',)]"
['bagus'],"[('bagus',)]"
"['gameku', 'bintang', 'skin', 'gratis', 'coy', 'mungkin', 'ngonten', 'nanti', 'besar', 'meski', 'ngikutan', 'bagus', 'lebih', 'kualitas', 'neng', 'kadang', 'serlok', 'takparani', 'striker', 'sendiri', 'kelas', 'banget', 'by']","[('gameku',), ('bintang',), ('skin',), ('gratis',), ('coy',), ('mungkin',), ('ngonten',), ('nanti',), ('besar',), ('meski',), ('ngikutan',), ('bagus',), ('lebih',), ('kualitas',), ('neng',), ('kadang',), ('serlok',), ('takparani',), ('striker',), ('sendiri',), ('kelas',), ('banget',), ('by',)]"
